SMILES,True_Label,Predicted_Score,Predicted_Binary,Correct
CCNC(=S)NCC,1,-7143.124560314986,0,0
Cc1ccc(N)cc1,0,-5640.199103664265,0,1
CCC1CO1,1,-3338.990493401506,0,0
C=CCOCC1CO1,0,-5991.971398296578,0,1
C=CC=C,1,-2251.9767751330114,0,0
C=CC=O,0,-2482.474043050362,0,1
C=CCCl,0,-3822.6311716431733,0,1
C=CC#N,1,-2366.8004290644017,0,0
CCC[N+](=O)[O-],0,-4533.19163230139,0,1
C=COC(C)=O,1,-4396.362308656142,0,0
O=C1CCC(=O)O1,0,-5456.144066517032,0,1
Cc1cccc(N)c1,0,-5640.1471507986225,0,1
Nc1cccc(N)c1,0,-5769.705307785778,0,1
CC(CCl)OC(C)CCl,0,-9764.007532370424,0,1
Nc1nc(N)nc(N)n1,1,-7071.752495581488,0,0
NC1CCCCC1,0,-4846.578859401881,0,1
O=C1CCCCC1,0,-4927.201886017526,0,1
CCCCCl,0,-4654.866360902021,0,1
CCCCCC,0,-3910.740438608011,0,1
C1CCNCC1,0,-4026.5643248612596,0,1
CC(O)CNCC(C)O,0,-7020.1929075455855,0,1
ClCCOCCCl,0,-8122.072966249325,0,1
OCCOCCO,1,-5507.678516069559,0,0
CCCCCCCN,0,-5677.915208221818,0,1
CCCCOCCO,0,-6070.348161764389,0,1
OCCOCCOCCO,0,-8228.72940624853,0,1
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0,-25888.74245834697,0,1
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0,-23367.146998863962,0,1
O=P(OCCCl)(OCCCl)OCCCl,1,-17454.64721399003,0,0
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,1,-13459.827136647851,0,0
Nc1ccccc1C(=O)O,0,-7776.772993136731,0,1
Nc1ccc(O)c([N+](=O)[O-])c1,1,-8981.468331579916,0,0
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0,-19800.119107147224,0,1
O=C(c1ccccc1)C(O)c1ccccc1,0,-12466.222436272692,0,1
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,1,-14310.012878935624,0,0
Oc1ccc(Cl)cc1Cc1ccccc1,0,-12966.211228886343,0,1
COC(=O)c1ccc(C(=O)OC)cc1,0,-11427.409804661147,0,1
CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,0,-19088.11458027733,0,1
COc1ccc(C)cc1N,1,-7476.261976537599,0,0
Oc1ccc(Cl)cc1Cl,0,-9652.09435618094,0,1
COc1ccc(O)c(C(C)(C)C)c1,1,-10014.009190905781,0,0
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,0,-23906.270265130504,0,1
Nc1ncc([N+](=O)[O-])s1,1,-8497.177683884753,0,0
CCCOC(=O)c1cc(O)c(O)c(O)c1,0,-12520.367377665512,0,1
Nc1ccc([N+](=O)[O-])cc1O,1,-8927.418357790957,0,0
CC(O)CN(CC(C)O)CC(C)O,0,-10562.014721298296,0,1
CCNc1nc(Cl)nc(NCC)n1,0,-11787.733652704806,0,1
c1ccc(OCC2CO2)cc1,1,-8341.539746978033,0,0
OC[P+](CO)(CO)CO,0,-8604.47766905837,0,1
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,1,-45000.5705199632,0,0
CCCCOP(=O)(OCCCC)OCCCC,1,-15233.539308521671,0,0
C=C(C)C#N,0,-3184.010626126257,0,1
CC(O)CCl,0,-4914.637113393539,0,1
CC(C)=NO,1,-3464.3893486559614,0,0
O=C1c2ccccc2-c2ccc3c4c(ccc1c24)-c1ccccc1C3=O,0,-20622.223487605785,0,1
Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1,-16350.892383059449,0,0
C=CCOC(=O)c1ccccc1C(=O)OCC=C,0,-14544.093497999895,0,1
CCn1c2ccccc2c2cc(N)ccc21,1,-12278.839063926556,0,0
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1,-18714.80698488676,0,0
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0,-18710.8250491201,0,1
Nc1cc(Cl)cc(C(=O)O)c1Cl,0,-12541.68928063156,0,1
